title,relation,tail,title,article
follow expenditure,commit,as of 15 october of the financial year in advance against the appropriations provided for the following financial year : routine administrative expenditure provided that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf provided that the basis for such expenditure is laid down in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
routine administrative expenditure,provide,that such expenditure has been approved in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
expenditure,approve,in the last budget duly adopted and only up to a maximum of one quarter of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial year routine management expenditure for the eagf,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
basis expenditure,lay,in an existing basic act and only up to a maximum of three quarters of the total corresponding appropriations decided upon by the european parliament and by the council for the current financial yearthe european parliament and by the council for the current financial yearthe council for the current financial yearthe current financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
appropriation end financial year enter carry decision take pursuant paragraph 3 follow financial year : commitment appropriation nondifferentiate appropriation preparatory stage commitment procedure complete 31 december financial year,carry,by a decision taken pursuant to paragraph 3 but only to the following financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
preparatory stage commitment procedure,complete,for which by 31 december of the financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,commit,up to 31 march of the following financial year with the exception of nondifferentiated appropriations related to building projects which may be committed up to 31 december of the following financial year appropriations which are necessary when the legislative authority has adopted a basic act in the final quarter of the financial year and,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
legislative authority,adopt,a basic act in the final quarter of the financial year when,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,commit,up to 31 december of the following financial year payment appropriations which are needed to cover existing commitments or commitments linked to commitment appropriations carried over where the payment appropriations provided for in the relevant budget lines for the following financial year are insufficient noncommitted appropriations relating to the actions referred to in article 4(1) of regulation (eu) no 13062013 of the european parliament and of the council ( 1,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
payment appropriation provide relevant budget line follow financial year,be,insufficient noncommitted appropriations relating to the actions referred to in article 4(1) of regulation (eu) no 13062013 of the european parliament and of the council ( 1 where,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,use,the appropriations authorised for the following financial year with regard to point of the first subparagraph first,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,use,the appropriations carried over,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
carryover noncommitte appropriation,refer,to in point of the first subparagraph of this paragraph,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
carryover noncommitte appropriation,exceed,the amount of the adjustment of direct payments applied in accordance with article 26 of regulation (eu) no 13062013 during the following financial year within a limit of 2  of the initial appropriations voted by the european parliament and by the council,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation carry,return,to the budget lines which cover the actions referred to in point of article 4(1) of regulation (eu),TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,take,the union institution,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,refer,to in paragraph 2 by 15 february of the following financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,inform,the european parliament and the council by 15 march of that year of its decision on carryovers,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,refer,to in paragraph 2 by 15 february of the following financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
union institution concern,state,how the criteria in points and of the first subparagraph of paragraph 2 have been applied to each carryover also for each budget line,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
criterion point subparagraph paragraph 2,apply,how to each carryover,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,carry,automatically in respect of: commitment appropriations for the emergency aid reserve and for the european union solidarity fund,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,carry,only to the following financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,commit,up to 31 december of that year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,carry,only to the following financial year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,commit,up to 31 december of that year with the exception of the internal assigned revenue from lettings and the sale of buildings and land which may be carried over until it is fully used,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
commitment appropriation refer regulation eu 13032013 regulation eu,carry,until the closure of the programme,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
commitment appropriation refer regulation eu 13032013 regulation eu,use,provided that other commitment appropriations are no longer available appropriations corresponding to external assigned revenue,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
commitment appropriation,be,available appropriations corresponding to external assigned revenue no longer,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,use,fully by the time all the operations relating to the programme or action to which such appropriations are assigned have been carried out or such appropriations may be carried over and used for the succeeding programme or action,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
appropriation,use,for the succeeding programme or action,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 12  Cancellation and carry-over of appropriations 
